id;label;vocab;ref_id;created_at;updated_at
019adb05-631a-728a-8735-79dddf6c3bc3;prisões;VCAA;998;"2025-12-01 14:45:54";"2025-12-01 14:45:54"
019adb05-6385-725d-8ecb-032ec4ab81dd;reformatórios;VCAA;6772;"2025-12-01 14:45:54";"2025-12-01 14:45:54"
019adb05-6549-71c9-903e-fa93de618ded;"casas rurais";VCAA;3094;"2025-12-01 14:45:55";"2025-12-01 14:45:55"
019adb05-65b8-70ef-a2da-5555486d1fe6;curral;VCAA;141;"2025-12-01 14:45:55";"2025-12-01 14:45:55"
019adb05-6625-71fd-bdd2-a406ef59763d;estábulos;VCAA;6508;"2025-12-01 14:45:55";"2025-12-01 14:45:55"
019adb05-6690-7360-8d7e-72b2a619ebaa;fazendas;VCAA;2268;"2025-12-01 14:45:55";"2025-12-01 14:45:55"
019adb05-66fd-706f-8f3e-a5438f6dde63;rancho;VCAA;1018;"2025-12-01 14:45:55";"2025-12-01 14:45:55"
019adb05-676a-72e3-b1c6-9f4d210dfb75;silo;VCAA;1080;"2025-12-01 14:45:55";"2025-12-01 14:45:55"
019adb05-690f-71fc-80ac-20986fe69082;"agências bancárias";VCAA;2150;"2025-12-01 14:45:56";"2025-12-01 14:45:56"
019adb05-6989-70fa-adbc-057fcb7228c6;armazéns;VCAA;2739;"2025-12-01 14:45:56";"2025-12-01 14:45:56"
019adb05-69f7-71d5-8d89-18c7bef754ed;bancas;VCAA;219;"2025-12-01 14:45:56";"2025-12-01 14:45:56"
019adb05-6a64-73a3-9960-cd9abd5e4977;bares;VCAA;2742;"2025-12-01 14:45:56";"2025-12-01 14:45:56"
019adb05-6ad1-7003-b506-97088a671853;borracharias;VCAA;2750;"2025-12-01 14:45:56";"2025-12-01 14:45:56"
019adb05-6b3c-71f8-ac90-cbe4293c1e43;cafeterias;VCAA;267;"2025-12-01 14:45:56";"2025-12-01 14:45:56"
019adb05-6ba9-715f-bb69-12b6ad66c327;"casas noturnas";VCAA;2751;"2025-12-01 14:45:56";"2025-12-01 14:45:56"
019adb05-6c14-7076-a746-51197f929aed;cassinos;VCAA;323;"2025-12-01 14:45:57";"2025-12-01 14:45:57"
019adb05-6c82-71ee-a879-b33bede0c638;depósitos;VCAA;437;"2025-12-01 14:45:57";"2025-12-01 14:45:57"
019adb05-6cee-70dc-a2bd-788cc880c7f7;docas;VCAA;446;"2025-12-01 14:45:57";"2025-12-01 14:45:57"
019adb05-6d5a-730d-b93a-d814cb0f8d90;editoras;VCAA;2746;"2025-12-01 14:45:57";"2025-12-01 14:45:57"
019adb05-6dc6-7025-b226-14bb72ccb229;farmácias;VCAA;6515;"2025-12-01 14:45:57";"2025-12-01 14:45:57"
019adb05-6e32-7325-ace9-20d2fe7e390d;flats;VCAA;2741;"2025-12-01 14:45:57";"2025-12-01 14:45:57"
019adb05-6e9f-73c4-a4db-ba16ce293391;galpões;VCAA;606;"2025-12-01 14:45:57";"2025-12-01 14:45:57"
019adb05-6f0d-734c-b460-29b7b31b3ee9;"garagens comerciais";VCAA;2743;"2025-12-01 14:45:57";"2025-12-01 14:45:57"
019adb05-6f7a-7161-9c8e-f68d848f19cd;gráficas;VCAA;2747;"2025-12-01 14:45:57";"2025-12-01 14:45:57"
019adb05-6fe5-7213-9142-238ddcee09dc;hospedaria;VCAA;644;"2025-12-01 14:45:57";"2025-12-01 14:45:57"
019adb05-7051-719f-870b-94b79648603a;hostel;VCAA;647;"2025-12-01 14:45:58";"2025-12-01 14:45:58"
019adb05-70be-7149-ad99-ecf4d5550a38;hotéis;VCAA;6537;"2025-12-01 14:45:58";"2025-12-01 14:45:58"
019adb05-712b-724d-af03-b074df14cd37;lanchonete;VCAA;712;"2025-12-01 14:45:58";"2025-12-01 14:45:58"
019adb05-7198-702d-879d-76be8995df0f;lavanderias;VCAA;715;"2025-12-01 14:45:58";"2025-12-01 14:45:58"
019adb05-7207-73cb-89c8-cf4acc0cda94;livrarias;VCAA;6565;"2025-12-01 14:45:58";"2025-12-01 14:45:58"
019adb05-7276-70e4-beef-402e24b85753;lojas;VCAA;2744;"2025-12-01 14:45:58";"2025-12-01 14:45:58"
019adb05-72e5-72ee-abbb-032a30c3542c;mercados;VCAA;755;"2025-12-01 14:45:58";"2025-12-01 14:45:58"
019adb05-7350-7165-84fc-ca788dcb5240;moteis;VCAA;2740;"2025-12-01 14:45:58";"2025-12-01 14:45:58"
019adb05-73bf-73cf-8b55-0371a8592c53;oficinas;VCAA;807;"2025-12-01 14:45:58";"2025-12-01 14:45:58"
019adb05-742c-7296-be49-d15a03018793;olarias;VCAA;2754;"2025-12-01 14:45:59";"2025-12-01 14:45:59"
019adb05-749a-738f-b3c5-c90f603b9b27;padarias;VCAA;2748;"2025-12-01 14:45:59";"2025-12-01 14:45:59"
019adb05-7507-72f0-bbe9-1caf162ee1cb;pavilhão;VCAA;875;"2025-12-01 14:45:59";"2025-12-01 14:45:59"
019adb05-7574-7015-980f-546aca33b316;"postos de combustíveis";VCAA;981;"2025-12-01 14:45:59";"2025-12-01 14:45:59"
019adb05-75e1-7048-87dd-c46a5241abe1;pousadas;VCAA;982;"2025-12-01 14:45:59";"2025-12-01 14:45:59"
019adb05-7650-7031-a3cd-d1e512b75cfa;quiosques;VCAA;6769;"2025-12-01 14:45:59";"2025-12-01 14:45:59"
019adb05-76c0-71be-ab2b-133548eb62d4;restaurantes;VCAA;1037;"2025-12-01 14:45:59";"2025-12-01 14:45:59"
019adb05-772d-7001-a080-f51d0ee280e3;"shopping centers";VCAA;2752;"2025-12-01 14:45:59";"2025-12-01 14:45:59"
019adb05-779a-7107-9b6c-338508367653;supermercados;VCAA;2753;"2025-12-01 14:45:59";"2025-12-01 14:45:59"
019adb05-796a-730a-87a2-32c49cf32a5e;"cozinhas industriais";VCAA;2770;"2025-12-01 14:46:00";"2025-12-01 14:46:00"
019adb05-79e0-7144-acc3-0b92a9610739;destilarias;VCAA;6457;"2025-12-01 14:46:00";"2025-12-01 14:46:00"
019adb05-7a4d-702f-81fb-925aeb4f85a1;indústrias;VCAA;660;"2025-12-01 14:46:00";"2025-12-01 14:46:00"
019adb05-7aba-720a-a887-d31a15f9f725;marcenaria;VCAA;740;"2025-12-01 14:46:00";"2025-12-01 14:46:00"
019adb05-7b29-7038-be15-99a88e427a68;serrarias;VCAA;6804;"2025-12-01 14:46:00";"2025-12-01 14:46:00"
019adb05-7cbe-7270-b901-5ddc09f0d8c2;"centrais telefônicas";VCAA;2772;"2025-12-01 14:46:01";"2025-12-01 14:46:01"
019adb05-7d2d-73dd-945e-f1bab812325f;correios;VCAA;2773;"2025-12-01 14:46:01";"2025-12-01 14:46:01"
019adb05-7d9c-7240-bb01-6c0f0b0c6c0c;"edifícios de rádio e televisão";VCAA;2774;"2025-12-01 14:46:01";"2025-12-01 14:46:01"
019adb05-7f2d-716f-a788-00550c199de6;alfândegas;VCAA;122;"2025-12-01 14:46:01";"2025-12-01 14:46:01"
019adb05-7fa1-715d-bc80-df3e5b30a10a;"edifícios cívicos e sociais";VCAA;6470;"2025-12-01 14:46:02";"2025-12-01 14:46:02"
019adb05-800e-71b1-b9bc-2cb90ba06c30;"edifícios governamentais";VCAA;2795;"2025-12-01 14:46:02";"2025-12-01 14:46:02"
019adb05-807b-73d9-8d2b-9bf1d1093527;"edifícios judiciários";VCAA;2797;"2025-12-01 14:46:02";"2025-12-01 14:46:02"
019adb05-80e7-737a-871e-d7edd86d6c24;"edifícios legislativos";VCAA;2799;"2025-12-01 14:46:02";"2025-12-01 14:46:02"
019adb05-8155-7291-9015-f779b6fc7b51;"edifícios militares";VCAA;2798;"2025-12-01 14:46:02";"2025-12-01 14:46:02"
019adb05-81c2-731d-a578-3c67c7055221;embaixadas;VCAA;472;"2025-12-01 14:46:02";"2025-12-01 14:46:02"
019adb05-822f-7040-8c5c-541253554dad;fórum;VCAA;586;"2025-12-01 14:46:02";"2025-12-01 14:46:02"
019adb05-829b-71ec-8de2-509f86f67695;ministérios;VCAA;2291;"2025-12-01 14:46:02";"2025-12-01 14:46:02"
019adb05-8308-7384-bfbd-64a0b0641d43;paço;VCAA;2295;"2025-12-01 14:46:02";"2025-12-01 14:46:02"
019adb05-8374-7306-a823-a5a7038a8ed1;prefeituras;VCAA;996;"2025-12-01 14:46:02";"2025-12-01 14:46:02"
019adb05-83e2-7296-be09-3f3d84838578;secretarias;VCAA;2301;"2025-12-01 14:46:03";"2025-12-01 14:46:03"
019adb05-8450-7266-b0cd-12b911ceb95f;supremo;VCAA;2293;"2025-12-01 14:46:03";"2025-12-01 14:46:03"
019adb05-84bf-70a0-b7a7-fbcf1fc9ca27;tribunal;VCAA;2294;"2025-12-01 14:46:03";"2025-12-01 14:46:03"
019adb05-8667-7201-8ff1-0b73f55ea691;"abrigos de ônibus";VCAA;5643;"2025-12-01 14:46:03";"2025-12-01 14:46:03"
019adb05-86d3-71c7-98d9-5e8aaddaf93d;aeroportos;VCAA;112;"2025-12-01 14:46:03";"2025-12-01 14:46:03"
019adb05-873f-7094-981e-a8ca4d82f6d5;ancoradouros;VCAA;135;"2025-12-01 14:46:03";"2025-12-01 14:46:03"
019adb05-87ac-72d9-9ca0-0050719e7f05;"estações ferroviárias";VCAA;525;"2025-12-01 14:46:04";"2025-12-01 14:46:04"
019adb05-8819-70a1-a417-395724491b9f;"estações metroviárias";VCAA;526;"2025-12-01 14:46:04";"2025-12-01 14:46:04"
019adb05-8887-73fb-a015-43edfc90601b;"estações rodoviárias";VCAA;7591;"2025-12-01 14:46:04";"2025-12-01 14:46:04"
019adb05-88f4-7120-8b18-4427387a5202;hangares;VCAA;638;"2025-12-01 14:46:04";"2025-12-01 14:46:04"
019adb05-8962-721d-8c03-fe4d784f69e0;heliponto;VCAA;640;"2025-12-01 14:46:04";"2025-12-01 14:46:04"
019adb05-89d0-73f6-bb03-782cc1ff86c4;marinas;VCAA;6685;"2025-12-01 14:46:04";"2025-12-01 14:46:04"
019adb05-8a3b-7220-8cea-3e21693e8672;portos;VCAA;975;"2025-12-01 14:46:04";"2025-12-01 14:46:04"
019adb05-8aaa-7214-b2c5-7f5c6c66186c;"terminal rodoviário";VCAA;1133;"2025-12-01 14:46:04";"2025-12-01 14:46:04"
019adb05-8c59-7042-8b7f-296b960f11ed;capela-mor;VCAA;2097;"2025-12-01 14:46:05";"2025-12-01 14:46:05"
019adb05-8ccf-70c6-8417-4762d8ee3c8d;"capelas laterais";VCAA;2096;"2025-12-01 14:46:05";"2025-12-01 14:46:05"
019adb05-8e77-73d1-be74-fec9679f4e52;galilé;VCAA;605;"2025-12-01 14:46:05";"2025-12-01 14:46:05"
019adb05-8ee4-72d7-b819-b46ab81b99d2;"igreja barroca";VCAA;2087;"2025-12-01 14:46:05";"2025-12-01 14:46:05"
019adb05-8f51-73b1-9406-06ebee159aac;"igreja católica";VCAA;2088;"2025-12-01 14:46:06";"2025-12-01 14:46:06"
019adb05-8fbf-739f-a9ef-4b9688b3a29d;"igreja matriz";VCAA;2089;"2025-12-01 14:46:06";"2025-12-01 14:46:06"
019adb05-9029-710a-be20-b6c57c9e4ab6;"igreja moderna";VCAA;2090;"2025-12-01 14:46:06";"2025-12-01 14:46:06"
019adb05-9096-72ee-b632-3ad0d6621533;"igreja ortodoxas";VCAA;2815;"2025-12-01 14:46:06";"2025-12-01 14:46:06"
019adb05-9103-728a-9819-84244abb8bca;"igreja protestante";VCAA;2814;"2025-12-01 14:46:06";"2025-12-01 14:46:06"
019adb05-9171-736a-9ed5-7aca664f4b58;matriz;VCAA;749;"2025-12-01 14:46:06";"2025-12-01 14:46:06"
019adb05-91dc-7104-8f51-3d6d0fe784f9;nártex;VCAA;793;"2025-12-01 14:46:06";"2025-12-01 14:46:06"
019adb05-9249-7313-92cb-2205eaf05630;nave;VCAA;794;"2025-12-01 14:46:06";"2025-12-01 14:46:06"
019adb05-92b5-723a-8171-fcafba8dc3ae;púlpito;VCAA;1002;"2025-12-01 14:46:06";"2025-12-01 14:46:06"
019adb05-9446-72a2-9cc1-9ff26f3cf04c;arquibancadas;VCAA;156;"2025-12-01 14:46:07";"2025-12-01 14:46:07"
019adb05-94bc-7330-a70c-ec329fc50a5c;raia;VCAA;1015;"2025-12-01 14:46:07";"2025-12-01 14:46:07"
019adb05-9659-708a-ae49-b9372aa37e29;"pista de patinação no gelo";VCAA;3086;"2025-12-01 14:46:07";"2025-12-01 14:46:07"
