id;name;count;type
355;Pingadeira;7;NULL
356;Lanternim;3;NULL
357;Instituto;52;NULL
358;"Pastilha cerâmica";59;NULL
359;Mastro;44;NULL
360;Tribunal;50;NULL
361;Masstro;1;NULL
362;Calçadão;35;NULL
363;Cornija;47;NULL
364;Granilite;4;NULL
365;Extintor;2;NULL
366;Guarda-corpo;649;NULL
367;Hospital;43;NULL
368;"Térreo livre";32;NULL
369;"Bloco cerâmico";1;NULL
370;Comunicação;13;NULL
371;Telefonia;1;NULL
372;Jornal;4;NULL
373;"Taipa de mão";4;NULL
374;"Arco abatido";15;NULL
375;"Telha de madeira";1;NULL
376;"Empena cega";6;NULL
377;Torre;73;NULL
378;Arcada;36;NULL
379;Instalações;4;NULL
380;Cortina;15;NULL
381;Parapeito;21;NULL
382;Estiva;13;NULL
383;Palafita;30;NULL
384;Tabuado;19;NULL
385;Balaustrada;16;NULL
386;"Cobertura vegetal";16;NULL
387;Madeiramento;2;NULL
388;Pranchado;1;NULL
389;Amarelo;1;NULL
390;Rosa;3;NULL
391;Vermelho;1;NULL
392;Branco;1;NULL
393;"Tijolo aparente";8;NULL
394;Aparecida;1;NULL
395;Basílica;1;NULL
396;"Ladrilho hidráulico";64;NULL
397;"Pedra portuguesa";1;NULL
398;Asfalto;2;NULL
399;Lajota;3;NULL
400;Paróquia;15;NULL
401;"Arco ogival";32;NULL
402;Capela;43;NULL
403;Rosácea;5;NULL
404;Mão-francesa;26;NULL
405;"Tesoura de madeira";4;NULL
406;Tirante;12;NULL
407;Congresso;13;NULL
408;Abóbada;102;NULL
409;Industrial;10;NULL
410;"Pau a pique";1;NULL
411;"Espelho d'água";141;NULL
412;Forro;43;NULL
413;"Bloco de vidro";16;NULL
414;Bronze;16;NULL
415;Mural;39;NULL
416;"Janela  basculante";1;NULL
417;Estátua;5;NULL
418;Nicho;4;NULL
419;Capitel;15;NULL
420;Embasamento;16;NULL
421;"Portão duas folhas";2;NULL
422;Rodoviária;38;NULL
423;"Escada rolante";18;NULL
424;Viaduto;41;NULL
425;Galeria;21;NULL
426;"Guardo corpo";1;NULL
427;Cascaldi;1;NULL
428;"Escola Paulista";1;NULL
429;Artigas;2;NULL
430;"República Velha";1;NULL
431;Esquina;4;NULL
432;Fonte;76;NULL
433;Expositor;16;NULL
434;Gesso;6;NULL
435;Mansarda;9;NULL
436;Monumento;76;NULL
437;Borracha;3;NULL
438;"Piso antiderrapante";3;NULL
439;"igreja moderna";1;NULL
440;estrangeiros;1;NULL
441;"Concreto armado";14;NULL
442;Lona;3;NULL
443;"Treliça espacial";3;NULL
444;Laboratório;13;NULL
445;Calha;10;NULL
446;"Cerca viva";7;NULL
447;"Tijolo de pedra";2;NULL
448;"Arco tudor";2;NULL
449;"Telha cerâmico";1;NULL
450;"Arco angrelado";1;NULL
451;Verga;3;NULL
452;"Arco de ferradura";1;NULL
453;"Conjunto residencial";1;NULL
454;Peitoral;1;NULL
455;Mausoléu;3;NULL
456;Túmulo;1;NULL
457;"Cobertura metálica";13;NULL
458;"Deck de madeira";7;NULL
459;Tapume;12;NULL
460;Energia;5;NULL
461;Shed;8;NULL
462;Arquibancada;17;NULL
463;"Campo de futebol";15;NULL
464;Escritório;23;NULL
465;"Agência bancária";7;NULL
466;"Centro Cultural";1;NULL
467;Jardineira;13;NULL
468;"Fibra de vidro";4;NULL
469;"Laje nervurada";48;NULL
470;Imprensa;6;NULL
471;Pastilhas;1;NULL
472;Seguradora;3;NULL
473;Cassino;17;NULL
474;"Térreo livreMosaic";1;NULL
475;Bienal;5;NULL
476;Ferr;1;NULL
477;"Telhado invertido";3;NULL
478;"Cobertura curva";9;NULL
479;"Abóbada de berço";7;NULL
480;"Grade sanfonada";1;NULL
481;Guarita;6;NULL
482;"anela basculante";1;NULL
483;Moldura;4;NULL
484;Instalação;8;NULL
485;"Placa pré-moldada";6;NULL
486;zenital;1;NULL
487;"Chaminé. Guarda corpo";2;NULL
488;PVC;5;NULL
